Circuit: * C:\Users\karab\OneDrive\Documents\GitHub\EE463_Project_Onur_Halis_Halid\3854.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 9.85366e-010 to 4.98537e-009
Heightened Def Con from 4.99345e-009 to 9.99345e-009
Heightened Def Con from 1.14003e-008 to 1.54003e-008
Heightened Def Con from 1.93714e-008 to 2.43714e-008
Heightened Def Con from 2.5013e-008 to 3.0013e-008
Heightened Def Con from 3.08179e-008 to 3.58179e-008
Heightened Def Con from 6.73621e-008 to 7.23621e-008
Heightened Def Con from 1.0261e-006 to 1.0311e-006
Heightened Def Con from 1.03178e-006 to 1.03678e-006
Heightened Def Con from 1.03879e-006 to 1.04279e-006
Heightened Def Con from 1.0428e-006 to 1.0478e-006
Heightened Def Con from 1.04963e-006 to 1.05463e-006
Heightened Def Con from 1.07238e-006 to 1.07638e-006
Heightened Def Con from 1.07702e-006 to 1.08102e-006
Heightened Def Con from 1.14833e-006 to 1.15333e-006
Heightened Def Con from 1.15507e-006 to 1.15907e-006
Heightened Def Con from 1.1601e-006 to 1.1651e-006
Heightened Def Con from 1.17294e-006 to 1.17794e-006
Heightened Def Con from 1.17844e-006 to 1.18244e-006
Heightened Def Con from 1.18566e-006 to 1.19066e-006
Heightened Def Con from 1.19296e-006 to 1.19796e-006
Heightened Def Con from 1.19824e-006 to 1.20324e-006
Heightened Def Con from 1.20599e-006 to 1.21099e-006
Heightened Def Con from 1.22523e-006 to 1.23023e-006
Heightened Def Con from 1.25198e-006 to 1.25698e-006
Heightened Def Con from 1.25699e-006 to 1.26199e-006
Heightened Def Con from 1.26337e-006 to 1.26837e-006
Heightened Def Con from 1.28733e-006 to 1.29233e-006
Heightened Def Con from 1.29462e-006 to 1.29962e-006
Heightened Def Con from 1.34375e-006 to 1.34875e-006
Heightened Def Con from 1.44671e-006 to 1.45171e-006
Heightened Def Con from 1.47304e-006 to 1.47804e-006
Heightened Def Con from 1.48177e-006 to 1.48677e-006
Heightened Def Con from 1.48722e-006 to 1.49222e-006
Heightened Def Con from 1.55919e-006 to 1.56319e-006
Heightened Def Con from 1.60731e-006 to 1.61231e-006
Heightened Def Con from 1.61295e-006 to 1.61795e-006
Heightened Def Con from 1.61842e-006 to 1.62342e-006
Heightened Def Con from 1.62428e-006 to 1.62928e-006
Heightened Def Con from 1.63029e-006 to 1.63529e-006
Heightened Def Con from 1.63917e-006 to 1.64317e-006
Heightened Def Con from 1.64318e-006 to 1.64818e-006
Heightened Def Con from 1.68556e-006 to 1.68956e-006
Heightened Def Con from 1.69025e-006 to 1.69525e-006
Heightened Def Con from 1.69526e-006 to 1.70026e-006
Heightened Def Con from 1.93893e-006 to 1.94393e-006
Heightened Def Con from 1.94494e-006 to 1.94994e-006
Heightened Def Con from 1.95057e-006 to 1.95557e-006
Heightened Def Con from 2.54816e-006 to 2.55216e-006
Heightened Def Con from 2.55281e-006 to 2.55781e-006
Heightened Def Con from 2.55827e-006 to 2.56327e-006
Heightened Def Con from 2.56771e-006 to 2.57171e-006
Heightened Def Con from 2.57172e-006 to 2.57672e-006
Heightened Def Con from 2.5774e-006 to 2.5824e-006
Heightened Def Con from 2.58718e-006 to 2.59118e-006
Heightened Def Con from 2.66313e-006 to 2.66813e-006
Heightened Def Con from 2.72754e-006 to 2.73254e-006
Heightened Def Con from 2.86866e-006 to 2.87366e-006
Heightened Def Con from 2.91652e-006 to 2.92052e-006
Heightened Def Con from 2.921e-006 to 2.926e-006
Heightened Def Con from 2.96497e-006 to 2.96897e-006
Heightened Def Con from 2.96898e-006 to 2.97398e-006
Heightened Def Con from 2.97607e-006 to 2.98107e-006
Heightened Def Con from 2.99118e-006 to 2.99618e-006
Heightened Def Con from 3.05767e-006 to 3.06267e-006
Heightened Def Con from 3.06312e-006 to 3.06812e-006
Heightened Def Con from 3.2636e-006 to 3.2686e-006
Heightened Def Con from 3.26912e-006 to 3.27512e-006
Heightened Def Con from 3.34067e-006 to 3.34667e-006
Heightened Def Con from 3.37965e-006 to 3.38365e-006
Heightened Def Con from 3.75686e-006 to 3.76186e-006
Heightened Def Con from 3.76611e-006 to 3.77111e-006
Heightened Def Con from 3.79646e-006 to 3.80146e-006
Heightened Def Con from 3.82059e-006 to 3.82559e-006
Heightened Def Con from 3.82659e-006 to 3.83159e-006
Heightened Def Con from 3.84225e-006 to 3.84625e-006
Heightened Def Con from 3.84748e-006 to 3.85248e-006
Heightened Def Con from 3.85284e-006 to 3.85684e-006
Heightened Def Con from 3.86662e-006 to 3.87162e-006
Heightened Def Con from 3.87207e-006 to 3.87707e-006
Heightened Def Con from 3.87812e-006 to 3.88312e-006
Heightened Def Con from 3.88702e-006 to 3.89202e-006
Heightened Def Con from 3.89249e-006 to 3.89749e-006
Heightened Def Con from 3.91161e-006 to 3.91661e-006
Heightened Def Con from 3.92486e-006 to 3.92986e-006
Heightened Def Con from 3.93054e-006 to 3.93454e-006
Heightened Def Con from 3.93506e-006 to 3.94006e-006
Heightened Def Con from 3.94153e-006 to 3.94553e-006
Heightened Def Con from 4.00045e-006 to 4.00545e-006
Heightened Def Con from 4.00832e-006 to 4.01332e-006
Heightened Def Con from 4.01526e-006 to 4.02026e-006
Heightened Def Con from 4.02137e-006 to 4.02637e-006
Heightened Def Con from 4.08827e-006 to 4.09227e-006
Heightened Def Con from 4.09274e-006 to 4.09774e-006
Heightened Def Con from 4.09866e-006 to 4.10366e-006
Heightened Def Con from 4.137e-006 to 4.141e-006
Heightened Def Con from 4.14238e-006 to 4.14738e-006
Heightened Def Con from 4.14796e-006 to 4.15196e-006
Heightened Def Con from 4.15197e-006 to 4.15697e-006
Heightened Def Con from 4.17104e-006 to 4.17604e-006
Heightened Def Con from 4.17827e-006 to 4.18327e-006
Heightened Def Con from 4.18382e-006 to 4.18882e-006
Heightened Def Con from 4.18883e-006 to 4.19383e-006
Heightened Def Con from 4.2015e-006 to 4.2065e-006
Heightened Def Con from 4.23494e-006 to 4.23894e-006
Heightened Def Con from 4.23961e-006 to 4.24461e-006
