Column1;Column2;Column3;Column4;Column5;Column6
Source:;C:\Users\karab\OneDrive\Documents\GitHub\EE463_Project_Onur_Halis_Halid\PCB_Kicad\main\main.sch;;;;
Date:;24.12.2020 21:12:40;;;;
Tool:;Eeschema (5.1.8)-1;;;;
Component Count:;47;;;;
Ref;Value;Footprint;Datasheet;Manufacturer;Vendor
C1;1mF;Capacitor_THT:CP_Radial_D8.0mm_P2.50mm;~;;
C2;100uF;Capacitor_SMD:CP_Elec_6.3x7.7;~;;
C3;C_Small;Capacitor_SMD:CP_Elec_6.3x7.7;~;;
C4;C_Small;Capacitor_SMD:CP_Elec_6.3x7.7;~;;
C5;C_Small;Capacitor_SMD:C_1206_3216Metric;~;;
C6;C_Small;Capacitor_SMD:CP_Elec_6.3x7.7;~;;
D1;DIODE;Diode_SMD:D_SMC;https://www.taiwansemi.com/assets/uploads/datasheet/S12GC%20SERIES_C1903.pdf;;
D2;DIODE;Diode_SMD:D_SMB;~;;
D3;DIODE;Diode_SMD:D_SMB;~;;
D_A1;D_Small;Diode_SMD:D_SMB;~;;
D_A2;D_Small;Diode_SMD:D_SMB;~;;
D_B1;D_Small;Diode_SMD:D_SMB;~;;
D_B2;D_Small;Diode_SMD:D_SMB;~;;
D_C1;D_Small;Diode_SMD:D_SMB;~;;
D_C2;D_Small;Diode_SMD:D_SMB;~;;
D_out1;D_Schottky;Diode_SMD:D_SMB;~;;
D_Ref1;D_Zener_Small;Diode_SMD:D_SOD-128;~;;
J_Bat1;Conn_01x02_Female;TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm;~;;
J_Motor1;Conn_01x03_Male;TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm;~;;
L1;L;Inductor_THT:L_Radial_D29.8mm_P28.80mm_muRATA_1400series;~;;
PS1;IA2412S;Converter_DCDC:Converter_DCDC_XP_POWER-IAxxxxS_THT;https://www.xppower.com/pdfs/SF_IA.pdf;;
Q1;Q_NMOS_GDS;Package_TO_SOT_THT:TO-220-3_Vertical;~;;
R1;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R2;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R3;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R4;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R5;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R6;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R7;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R8;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R9;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R10;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R11;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R12;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R13;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R14;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R15;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R16;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R17;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R_Gate1;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R_Gate2;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
R_sense1;R_Small_US;Resistor_SMD:R_1206_3216Metric;~;;
RV1;R_POT_TRIM_US;Potentiometer_SMD:Potentiometer_Bourns_3314G_Vertical;~;;
U1;TL084;Package_SO:SOIC-14_3.9x8.7mm_P1.27mm;http://www.ti.com/lit/ds/symlink/tl081.pdf;;
U2;TL084;Package_SO:SOIC-14_3.9x8.7mm_P1.27mm;http://www.ti.com/lit/ds/symlink/tl081.pdf;;
U3;NA555D;Package_SO:SOIC-8_3.9x4.9mm_P1.27mm;http://www.ti.com/lit/ds/symlink/ne555.pdf;;
U4;FAN7371;Package_SO:SOIC-8_3.9x4.9mm_P1.27mm;https://www.onsemi.com/pub/Collateral/FAN7371-D.pdf;;
