"Source:","C:\Users\karab\OneDrive\Documents\GitHub\EE463_Project_Onur_Halis_Halid\PCB_Kicad\main\main.sch"
"Date:","12.01.2021 22:29:58"
"Tool:","Eeschema (5.1.8)-1"
"Component Count:","22"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","680uF","Capacitor_SMD:CP_Elec_6.3x7.7","~","",""
"C2","68uF","Capacitor_SMD:CP_Elec_6.3x7.7","~","",""
"C3","2.2nF","Capacitor_SMD:C_1206_3216Metric","~","",""
"C4","2nF","Capacitor_SMD:C_1206_3216Metric","~","",""
"C5","1uF","Capacitor_SMD:CP_Elec_6.3x7.7","~","",""
"C6","68uF","Capacitor_SMD:CP_Elec_6.3x7.7","~","",""
"C7","4.7uF","Capacitor_SMD:C_2225_5664Metric_Pad1.80x6.60mm_HandSolder","~","",""
"C8","4.7uF","Capacitor_SMD:C_2225_5664Metric_Pad1.80x6.60mm_HandSolder","~","",""
"D_A1","D_Small","Diode_SMD:D_SMB","~","",""
"D_A2","D_Small","Diode_SMD:D_SMB","~","",""
"D_B1","D_Small","Diode_SMD:D_SMB","~","",""
"D_B2","D_Small","Diode_SMD:D_SMB","~","",""
"D_Boost1","D_Small","Diode_SMD:D_SMB","~","",""
"D_C1","D_Small","Diode_SMD:D_SMB","~","",""
"D_C2","D_Small","Diode_SMD:D_SMB","~","",""
"J_Bat1","Conn_01x02_Female","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","",""
"J_Motor1","Conn_01x03_Male","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","~","",""
"L1","100uH","Inductor_SMD:L_Wuerth_HCM-1390","~","",""
"Q1","Q_NMOS_GDS","Package_TO_SOT_THT:TO-220-3_Vertical","~","",""
"Q2","Q_NMOS_GDS","Package_TO_SOT_THT:TO-220-3_Vertical","~","",""
"U1","LTC3854EMSEPBF","Package_SO:MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm","","",""
"U2","ACS70331EESATR-005U3","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","","",""
